date,retail_index,flags,year,month,month_name,quarter,day_of_week,rolling_12m_avg,ema_12m,yoy_growth_pct,mom_growth_pct
1998-05-01,84.1,,1998,5,May,2,Friday,84.44166666666666,84.62308717251769,0.9603841536614643,0.4778972520907976
1998-06-01,79.1,,1998,6,June,2,Monday,84.29166666666667,83.7733814536688,-2.2249690976514302,-5.945303210463737
1998-07-01,83.8,,1998,7,July,3,Wednesday,84.41666666666667,83.77747661464284,1.8226002430133723,5.941845764854614
1998-08-01,80.0,,1998,8,August,3,Saturday,84.58333333333333,83.19632636623625,2.564102564102555,-4.534606205250591
1998-09-01,82.3,,1998,9,September,3,Tuesday,84.625,83.0584300021999,0.6112469437652868,2.8750000000000053
1998-10-01,87.2,,1998,10,October,4,Thursday,84.53333333333335,83.69559461724606,-1.245753114382775,5.953827460510341
1998-11-01,92.3,,1998,11,November,4,Sunday,84.78333333333333,85.0193492915159,3.3594624860022293,5.84862385321101
1998-12-01,106.1,,1998,12,December,4,Tuesday,84.93333333333334,88.26252632359038,1.7257909875359578,14.951245937161415
1999-01-01,78.6,,1999,1,January,1,Friday,84.98333333333333,86.77598381226878,0.7692307692307665,-25.918944392082945
1999-02-01,75.2,,1999,2,February,1,Monday,85.01666666666667,84.99506322576589,0.5347593582887722,-4.325699745547063
1999-03-01,87.8,,1999,3,March,1,Monday,85.01666666666667,85.42659196026345,0.0,16.755319148936152
1999-04-01,83.8,,1999,4,April,2,Thursday,85.02499999999999,85.17634704329984,0.1194743130226827,-4.555808656036442
1999-05-01,83.7,,1999,5,May,2,Saturday,84.99166666666666,84.94921672894601,-0.4756242568370927,-0.1193317422434336
1999-06-01,80.4,,1999,6,June,2,Tuesday,85.10000000000001,84.24933723218508,1.643489254108732,-3.9426523297490967
1999-07-01,83.2,,1999,7,July,3,Thursday,85.05,84.08790073492584,-0.7159904534606132,3.482587064676612
1999-08-01,81.6,,1999,8,August,3,Sunday,85.18333333333332,83.70514677570648,2.0000000000000018,-1.9230769230769384
1999-09-01,80.9,,1999,9,September,3,Wednesday,85.06666666666666,83.2735857332901,-1.7010935601457944,-0.8578431372548878
1999-10-01,88.4,,1999,10,October,4,Friday,85.16666666666667,84.06226485124549,1.3761467889908283,9.270704573547594
1999-11-01,91.4,,1999,11,November,4,Monday,85.09166666666667,85.1911471818231,-0.9750812567713928,3.393665158371051
